"","Tempo","Ativo Total","Ativo Circulante","Disponibilidades","Aplicações Interfinanceiras de Liquidez","Títulos e Valores Mobiliários","Relações Interfinanceiras","Relações Interdependências","Operações de Crédito","Operações de Arrendamento Mercantil","Outros Créditos","Outros Valores e Bens","Ativo Realizável a Longo Prazo","Aplicações Interfinanceiras de Liquidez","Títulos e Valores Mobiliários","Relações Interfinanceiras","Relações Interdependências","Operações de Crédito","Operações de Arrendamento Mercantil","Outros Créditos","Outros Valores e Bens","Ativo Permanente","Investimentos","Imobilizado de Uso","Imobilizado de Arrendamento","Intangível","Diferido","Passivo Total","Passivo Circulante","Depósitos","Captações no Mercado Aberto","Recursos de Aceites e Emissão de Títulos","Relações Interfinanceiras","Relações Interdependências","Obrigações por Empréstimos","Obrigações por Repasse do País","Obrigações por Repasse do Exterior","Outras Obrigações","Passivo Exigível a Longo Prazo","Depósitos","Captações no Mercado Aberto","Recursos de Aceites e Emissão de Títulos","Relações Interfinanceiras","Relações Interdependências","Obrigações por Empréstimos","Obrigações por Repasse do País","Obrigações por Repasse do Exterior","Outras Obrigações","Resultados de Exercícios Futuros","Part. de Acionistas Não Controladores.x","Patrimônio Líquido","Capital Social Realizado","Reservas de Capital","Reservas de Reavaliação","Reservas de Lucro","Ajustes de Avaliação Patrimonial","Lucros/Prejuízos Acumulados","Receitas da Intermediação Financeira","Despesas da Intermediação Financeira","Resultado Bruto Intermediação Financeira","Outras Despesas/Receitas Operacionais","Receitas de Prestação de Serviços","Despesas de Pessoal","Outras Despesas Administrativas","Despesas Tributárias","Outras Receitas Operacionais","Outras Despesas Operacionais","Resultado da Equivalência Patrimonial","Resultado Operacional","Resultado Não Operacional","Receitas","Despesas","Resultado Antes Tributação/Participações","Provisão para IR e Contribuição Social","IR Diferido","Participações/Contribuições Estatutárias","Reversão dos Juros sobre Capital Próprio","Part. de Acionistas Não Controladores.y","Lucro/Prejuízo do Período","names","Time"
"1","31/12/2006","209691164.672000","158940626.944000","3391366.912000","29816172.544000","36696064.000000","15187397.632000","35142.000000","51416793.088000","0.000000","21436825.600000","960862.016000","46165217.280000","1592749.952000","9539710.976000","354747.008000","0.000000","25300940.800000","0.000000","8643495.936000","733569.984000","4585321.984000","2010340.992000","2071224.064000","15189.000000","0.000000","488568.000000","209691164.672000","118541885.440000","56455327.744000","18925694.976000","3051955.968000","728107.008000","1446638.976000","4750276.096000","0.000000","0.000000","33183889.408000","66208919.552000","4717548.032000","20419012.608000","4489434.112000","0.000000","0.000000","5766790.144000","0.000000","0.000000","30816137.216000","81152.000000","1294724.992000","23564472.320000","14254213.120000","1290004.992000","0.000000","8020253.184000","0.000000","0.000000","7781349.376000","-4440663.040000","3340686.336000","-1480960.000000","2454786.048000","-1250653.184000","-1701529.088000","-694611.968000","416577.024000","-866067.712000","160539.008000","1859726.080000","297392.992000","294949.984000","2443.000000","2157118.976000","-650194.112000","0.000000","-211238.048000","0.000000","-16045.000000","1279641.856000","ITUB4","2006-12-30 22:00:00"
"2","31/03/2007","257849851.904000","203782864.896000","4508633.088000","40091746.304000","52573036.544000","16707512.320000","27195.000000","55299039.232000","0.000000","33223313.408000","1352386.048000","50279235.584000","1679020.032000","10086241.280000","362124.992000","0.000000","28267151.360000","0.000000","9191962.624000","692736.000000","3787749.120000","1134823.936000","2127204.992000","14429.000000","0.000000","511291.008000","257849851.904000","157093068.800000","58264039.424000","37017145.344000","4266948.096000","2619550.976000","1648477.952000","6718089.216000","0.000000","0.000000","46558814.208000","74402119.680000","6202269.184000","22756907.008000","3564000.000000","0.000000","0.000000","5501862.912000","0.000000","0.000000","36377083.904000","77855.000000","1306103.040000","24970704.896000","14254213.120000","1290059.008000","0.000000","9426432.000000","0.000000","0.000000","7481118.208000","-3573757.952000","3907360.000000","-812931.968000","2420453.888000","-1251666.944000","-1531245.056000","-608494.976000","504480.000000","-378889.984000","32431.000000","3094427.904000","24743.000000","24743.000000","0.000000","3119171.072000","-1064716.992000","0.000000","-145456.992000","0.000000","-7341.000000","1901656.064000","ITUB4","2007-03-30 21:00:00"
"3","30/06/2007","255417696.256000","200664596.480000","4224930.048000","37111984.128000","53302267.904000","16475754.496000","34170.000000","58232619.008000","0.000000","29418072.064000","1864790.016000","50979848.192000","1608572.032000","8738255.872000","394705.984000","0.000000","29401208.832000","0.000000","9504422.912000","1332680.960000","3773267.968000","1116334.976000","1877856.000000","13701.000000","0.000000","765376.000000","255417696.256000","146846466.048000","60721946.624000","26272004.096000","4893284.864000","2112242.048000","1979062.016000","7792798.208000","0.000000","0.000000","43075117.056000","79918178.304000","7471563.776000","23678048.256000","3005344.000000","0.000000","0.000000","5377221.120000","0.000000","0.000000","40385990.656000","73976.000000","2033149.952000","26545950.720000","14254213.120000","1290059.008000","0.000000","11001677.824000","0.000000","0.000000","7936423.936000","-4160570.112000","3775854.080000","-1169911.040000","2549000.960000","-1339954.944000","-1614563.968000","-584860.032000","357784.000000","-554097.984000","16781.000000","2605943.040000","846606.016000","846606.016000","0.000000","3452549.120000","-1274803.968000","0.000000","-149632.000000","0.000000","86705.000000","2114818.048000","ITUB4","2007-06-29 21:00:00"
"4","30/09/2007","298483613.696000","236486934.528000","4681081.856000","60303147.008000","55290073.088000","16944679.936000","25297.000000","63069057.024000","0.000000","34653380.608000","1520211.968000","58204860.416000","1662209.024000","9223276.544000","402976.992000","0.000000","32920963.072000","0.000000","12014572.544000","1980860.032000","3791820.032000","1196833.024000","1839020.032000","12974.000000","0.000000","742993.024000","298483613.696000","182859399.168000","62419931.136000","51368534.016000","4161926.912000","2402679.040000","1603303.936000","9790384.128000","0.000000","0.000000","51112628.224000","85562933.248000","8012694.016000","25024903.168000","3164759.040000","0.000000","0.000000","6233991.168000","0.000000","0.000000","43126591.488000","76614.000000","1981890.944000","28002775.040000","14254213.120000","1290059.008000","0.000000","12458503.168000","0.000000","0.000000","8007864.832000","-4344763.904000","3663100.928000","-1253475.968000","2531162.112000","-1374646.016000","-1560439.040000","-610348.992000","426310.016000","-705281.024000","39767.000000","2409625.088000","1541885.056000","1541885.056000","0.000000","3951510.016000","-1274275.968000","0.000000","-258511.008000","0.000000","9126.000000","2427848.960000","ITUB4","2007-09-29 21:00:00"
"5","31/12/2007","294876250.112000","227925131.264000","4287878.912000","55115649.024000","52960575.488000","17297963.008000","42552.000000","69932933.120000","0.000000","26085736.448000","2201858.048000","63054651.392000","1669601.024000","8376940.032000","386798.016000","0.000000","37689380.864000","0.000000","12523087.872000","2408845.056000","3896455.936000","1259767.040000","1885491.968000","12246.000000","0.000000","738950.976000","294876250.112000","173095124.992000","74928259.072000","38873272.320000","3034797.056000","403548.992000","1452411.008000","10211649.536000","0.000000","0.000000","44191186.944000","90618028.032000","6663918.080000","25859846.144000","5336310.784000","0.000000","0.000000","6588516.864000","0.000000","0.000000","46169436.160000","73509.000000","2120500.992000","28969086.976000","14254213.120000","1290059.008000","0.000000","13424814.080000","0.000000","0.000000","8704333.824000","-4574161.920000","4130170.880000","-1194694.656000","2673827.328000","-1556496.896000","-1696983.040000","-728923.008000","451766.016000","-468470.016000","130584.008000","2935476.224000","460087.040000","460087.040000","0.000000","3395562.496000","-1142646.016000","0.000000","-190057.024000","0.000000","-33579.000000","2029281.280000","ITUB4","2007-12-30 22:00:00"
"6","31/03/2008","327624392.704000","252898394.112000","5194078.208000","54573416.448000","62213287.936000","20161650.688000","8407.000000","76389425.152000","0.000000","31978811.392000","2379325.952000","70857375.744000","1807580.032000","10191137.792000","396040.992000","0.000000","41123627.008000","0.000000","14794532.864000","2544453.120000","3868616.960000","1253266.048000","1843590.016000","11518.000000","0.000000","760243.008000","327624392.704000","188818685.952000","68172128.256000","54581096.448000","1706124.032000","4384071.168000","1987590.016000","11802625.024000","0.000000","0.000000","46185050.112000","107246854.144000","10272756.736000","31110455.296000","5471347.200000","0.000000","0.000000","7159380.992000","0.000000","0.000000","53232914.432000","74048.000000","2218258.944000","29266544.640000","14254213.120000","1290146.944000","0.000000","13722183.680000","0.000000","0.000000","12352472.064000","-8424329.216000","3928143.104000","-999574.016000","2502818.048000","-1454808.960000","-1563096.960000","-517348.992000","473396.992000","-527766.016000","87232.000000","2928569.088000","179584.992000","179584.992000","0.000000","3108154.112000","-762875.008000","0.000000","-214836.992000","0.000000","-86959.000000","2043483.008000","ITUB4","2008-03-30 21:00:00"
"7","30/06/2008","343870144.512000","264872738.816000","5600733.184000","67168702.464000","61067075.584000","20373772.288000","9444.000000","81650925.568000","0.000000","26813425.664000","2188655.104000","75129266.176000","898017.984000","10241907.712000","404552.992000","0.000000","44840984.576000","0.000000","15781909.504000","2961893.888000","3868144.128000","1253378.944000","1870110.976000","10791.000000","0.000000","733862.976000","343870144.512000","188151922.688000","68508033.024000","56448798.720000","2439134.976000","4564099.072000","2029633.024000","10547280.896000","0.000000","0.000000","43614932.992000","123191410.688000","14988279.808000","39771574.272000","5301438.976000","0.000000","0.000000","7309648.896000","0.000000","0.000000","55820468.224000","70609.000000","2114963.968000","30341255.168000","16999999.488000","538712.000000","0.000000","12802542.592000","0.000000","0.000000","5444491.776000","-716958.976000","4727533.056000","-1429906.048000","2583329.024000","-1513872.000000","-1647352.064000","-603331.008000","472740.992000","-613705.984000","-107715.000000","3297626.880000","109491.000000","109491.000000","0.000000","3407118.080000","-1201512.960000","0.000000","-224455.008000","0.000000","59533.000000","2040683.008000","ITUB4","2008-06-29 21:00:00"
"8","30/09/2008","396599230.464000","309885140.992000","6020651.008000","84592615.424000","69540511.744000","20255295.488000","4559.000000","91435515.904000","0.000000","35490734.080000","2545266.944000","82426863.616000","1898786.048000","12066313.216000","568560.000000","0.000000","50790326.272000","0.000000","14599859.200000","2503021.056000","4287187.968000","1415788.032000","2059223.040000","10063.000000","0.000000","802113.984000","396599230.464000","226282504.192000","79269363.712000","72838504.448000","4912523.776000","2872852.992000","1963427.968000","12045558.784000","0.000000","0.000000","52380274.688000","136264048.640000","33808752.640000","32964986.880000","5669996.032000","0.000000","0.000000","8762264.576000","0.000000","0.000000","55058046.976000","90275.000000","2371427.072000","31590963.200000","16999999.488000","538712.000000","0.000000","14052250.624000","0.000000","0.000000","17462511.616000","-14372404.224000","3090108.928000","-1495134.976000","1945890.944000","-1645656.960000","-1895433.984000","-513678.016000","1262477.056000","-772091.008000","123357.000000","1594973.952000","26469.000000","26469.000000","0.000000","1621442.944000","560008.000000","0.000000","-206616.992000","0.000000","-127192.000000","1847641.984000","ITUB4","2008-09-29 21:00:00"
"9","31/12/2008","632728387.584000","481075658.752000","15847047.168000","120269004.800000","109272727.552000","13570569.216000","41254.000000","147156025.344000","0.000000","72355667.968000","2563324.928000","141494779.904000","4277079.040000","29071149.056000","655867.008000","0.000000","73914949.632000","0.000000","31488884.736000","2086845.952000","10157989.888000","2258091.008000","4047337.984000","9335.000000","3843226.112000","0.000000","632728387.584000","351726206.976000","125327597.568000","86321782.784000","10844658.688000","399167.008000","2608977.920000","17964771.328000","5457504.768000","45570.000000","102756179.968000","234588323.840000","80861798.400000","38036676.608000","8750986.240000","0.000000","0.000000","6215726.080000","12621346.816000","331496.992000","87770284.032000","231104.992000","2518727.936000","43664035.840000","28999999.488000","597705.984000","0.000000","14066329.600000","0.000000","0.000000","29481046.016000","-30784808.960000","-1303763.968000","-7209528.320000","1852463.104000","-3024911.872000","-3247710.720000","-711290.880000","3185382.912000","-5514348.032000","250887.984000","-8513291.776000","-110338.992000","-110338.992000","0.000000","-8623631.360000","10816050.176000","0.000000","-208972.992000","0.000000","-111770.992000","1871674.880000","ITUB4","2008-12-30 22:00:00"
"10","31/03/2009","618943348.736000","468813873.152000","13061612.544000","122373079.040000","106330144.768000","15308674.048000","63315.000000","145937350.656000","0.000000","62377902.080000","3361812.992000","139735154.688000","4168480.000000","29918179.328000","672201.024000","0.000000","72715780.096000","0.000000","30668851.200000","1591656.960000","10394310.656000","2233012.992000","4199525.888000","8608.000000","3953164.032000","0.000000","618943348.736000","347057750.016000","118771228.672000","88316542.976000","12081367.040000","3274656.000000","2699032.064000","14451822.592000","5945548.800000","36449.000000","101481103.360000","223594840.064000","83686883.328000","39193100.288000","8478011.904000","0.000000","0.000000","5631154.176000","12222701.568000","312972.992000","74070016.000000","241612.000000","3050301.952000","44998848.512000","28999999.488000","697952.000000","0.000000","15300893.696000","0.000000","0.000000","20988504.064000","-13803336.704000","7185167.872000","-3458543.104000","2919449.088000","-2396926.976000","-2867488.000000","-899313.984000","1436551.040000","-1680774.016000","29960.000000","3726625.024000","-23146.000000","0.000000","-23146.000000","3703479.040000","-1082375.040000","0.000000","-405855.008000","0.000000","-200412.000000","2014836.992000","ITUB4","2009-03-30 21:00:00"
