"","Tempo","Ativo Total","Ativo Circulante","Caixa e Equivalentes de Caixa","Aplicações Financeiras","Contas a Receber","Estoques","Ativos Biológicos","Tributos a Recuperar","Despesas Antecipadas","Outros Ativos Circulantes","Ativo Realizável a Longo Prazo","Aplicações Financeiras Avaliadas a Valor Justo","Aplicações Financeiras Avaliadas ao Custo Amortizado","Contas a Receber","Estoques","Ativos Biológicos","Tributos Diferidos","Despesas Antecipadas","Créditos com Partes Relacionadas","Outros Ativos Não Circulantes","Investimentos","Imobilizado","Intangível","Diferido","Passivo Total","Passivo Circulante","Obrigações Sociais e Trabalhistas","Fornecedores","Obrigações Fiscais","Empréstimos e Financiamentos","Passivos com Partes Relacionadas","Dividendos e JCP a Pagar","Outros","Provisões","Passivos sobre Ativos Não-Correntes a Venda e Descontinuados","Passivo Não Circulante","Empréstimos e Financiamentos","Passivos com Partes Relacionadas","Outros","Tributos Diferidos","Adiantamento para Futuro Aumento Capital","Provisões","Passivos sobre Ativos Não-Correntes a Venda e Descontinuados","Lucros e Receitas a Apropriar","Participação dos Acionistas Não Controladores","Patrimônio Líquido","Capital Social Realizado","Reservas de Capital","Reservas de Reavaliação","Reservas de Lucros","Lucros/Prejuízos Acumulados","Ajustes de Avaliação Patrimonial","Ajustes Acumulados de Conversão","Outros Resultados Abrangentes","Adiantamento para Futuro Aumento Capital","Receita Bruta de Vendas e/ou Serviços","Deduções da Receita Bruta","Receita Líquida de Vendas e/ou Serviços","Custo de Bens e/ou Serviços Vendidos","Resultado Bruto","Despesas Com Vendas","Despesas Gerais e Administrativas","Perdas pela Não Recuperabilidade de Ativos ","Outras Receitas Operacionais","Outras Despesas Operacionais","Resultado da Equivalência Patrimonial","Financeiras","Receitas Financeiras","Despesas Financeiras","Resultado Não Operacional","Receitas","Despesas","Resultado Antes Tributação/Participações","Provisão para IR e Contribuição Social","IR Diferido","Participações/Contribuições Estatutárias","Reversão dos Juros sobre Capital Próprio","Part. de Acionistas Não Controladores","Lucro/Prejuízo do Período","names","Time"
"1","31/10/2006","5681186.816000","2277402.112000","402351.008000","0.000000","277372.992000","1226638.976000","0.000000","0.000000","0.000000","371039.008000","548008.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","34.000000","547974.016000","13604.000000","1594912.000000","0.000000","1247261.056000","5681186.816000","848419.968000","0.000000","347960.000000","107336.000000","73385.000000","652.000000","0.000000","227075.008000","92012.000000","0.000000","3330853.120000","2095678.024000","1714.000000","1233460.992000","0.000000","0.000000","0.000000","0.000000","0.000000","17357.000000","1484557.056000","1185767.040000","0.000000","195426.000000","0.000000","103364.000000","0.000000","0.000000","0.000000","0.000000","1084308.992000","-76246.000000","1008062.976000","-713148.032000","294915.008000","-75594.000000","-49357.000000","0.000000","43090.000000","-55550.000000","77.000000","27677.000000","172572.992000","-144896.000000","331.000000","331.000000","0.000000","185588.992000","-16904.000000","-43166.000000","0.000000","0.000000","-1762.000000","123757.000000","CSAN3","2006-10-30 21:00:00"
"2","31/01/2007","6192826.880000","2867012.096000","1280477.952000","0.000000","212062.000000","915318.016000","0.000000","0.000000","0.000000","459153.984000","446110.016000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","53.000000","446056.992000","13742.000000","1674685.952000","0.000000","1191277.056000","6192826.880000","547475.008000","0.000000","197216.000000","114829.000000","75866.000000","0.000000","0.000000","122029.000000","37535.000000","0.000000","4072530.944000","2923754.056000","0.000000","431388.000000","0.000000","0.000000","717388.992000","0.000000","0.000000","17930.000000","1554891.008000","1192691.968000","0.000000","195207.008000","0.000000","166992.000000","0.000000","0.000000","0.000000","0.000000","1048462.016000","-77659.000000","970803.008000","-680203.008000","290600.000000","-71196.000000","-52788.000000","0.000000","697.000000","-55892.000000","117.000000","-17619.000000","46561.000000","-64180.000000","103.000000","103.000000","0.000000","94022.000000","-34478.000000","4438.000000","0.000000","0.000000","-573.000000","63409.000000","CSAN3","2007-01-30 22:00:00"
"3","30/04/2007","6263353.856000","2224744.960000","1217128.960000","0.000000","112283.000000","503350.016000","0.000000","0.000000","0.000000","391983.008000","796566.016000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","45.000000","796521.024000","93169.000000","2013137.024000","0.000000","1135736.960000","6263353.856000","591732.992000","0.000000","113773.000000","126202.000000","88991.000000","667.000000","75815.000000","123012.000000","63273.000000","0.000000","4020431.104000","2825504.072000","0.000000","466960.992000","0.000000","0.000000","727966.016000","0.000000","0.000000","20191.000000","1630999.040000","1192691.968000","0.000000","195004.000000","243303.008000","0.000000","0.000000","0.000000","0.000000","0.000000","755418.880000","-73342.016000","682077.184000","-511813.888000","170262.976000","-75172.016000","-97717.008000","0.000000","-43787.000000","-17526.992000","-512.000000","333590.016000","372884.032000","-39294.016000","361.000000","361.000000","0.000000","269498.976000","-26027.000000","-76486.000000","0.000000","0.000000","-2261.000000","164724.992000","CSAN3","2007-04-29 21:00:00"
"4","31/07/2007","6326991.872000","2270828.032000","816401.024000","0.000000","140380.992000","790209.024000","0.000000","0.000000","0.000000","523836.992000","815830.016000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","43.000000","815787.008000","13849.000000","2076733.056000","0.000000","1149752.064000","6326991.872000","838051.008000","0.000000","315207.008000","131539.000000","116521.000000","0.000000","75815.000000","107269.000000","91700.000000","0.000000","3824713.984000","2646195.016000","0.000000","437548.992000","0.000000","0.000000","740969.984000","0.000000","0.000000","19561.000000","1644665.984000","1192691.968000","0.000000","194736.000000","243303.008000","13935.000000","0.000000","0.000000","0.000000","0.000000","636444.032000","-44731.000000","591713.024000","-548009.984000","43703.000000","-61083.000000","-57001.000000","0.000000","0.000000","-57449.000000","118.000000","150842.000000","121723.000000","29119.000000","2954.000000","2954.000000","0.000000","22084.000000","-19990.000000","10943.000000","0.000000","0.000000","630.000000","13667.000000","CSAN3","2007-07-30 21:00:00"
"5","31/10/2007","5879185.920000","1851085.952000","141591.008000","0.000000","107296.000000","1194840.960000","0.000000","0.000000","0.000000","407358.016000","850140.032000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","11.000000","850129.024000","13872.000000","2070285.952000","0.000000","1093801.984000","5879185.920000","770476.992000","0.000000","373295.008000","101037.000000","105072.000000","0.000000","34.000000","77616.000000","113423.000000","0.000000","3429931.008000","2233876.040000","0.000000","438587.008000","0.000000","0.000000","757468.032000","0.000000","0.000000","18889.000000","1659889.024000","1192691.968000","0.000000","194474.000000","243303.008000","29420.000000","0.000000","0.000000","0.000000","0.000000","678331.008000","-50842.000000","627489.024000","-551112.000000","76377.000000","-91944.000000","-45539.000000","0.000000","0.000000","-58644.000000","23.000000","144314.000000","121980.000000","22334.000000","2294.000000","2294.000000","0.000000","26881.000000","-26448.000000","14118.000000","0.000000","0.000000","672.000000","15223.000000","CSAN3","2007-10-30 22:00:00"
"6","31/01/2008","7276430.848000","2989361.920000","1448173.952000","0.000000","105432.000000","1019668.992000","0.000000","0.000000","0.000000","416087.008000","933740.032000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","11.000000","933729.024000","13953.000000","2293253.888000","0.000000","1046121.984000","7276430.848000","480454.016000","0.000000","196268.000000","93323.000000","74946.000000","0.000000","34.000000","64197.000000","51686.000000","0.000000","3446662.912000","2251825.992000","0.000000","419516.992000","0.000000","0.000000","775320.000000","0.000000","0.000000","18244.000000","3331069.952000","2935268.096000","0.000000","194420.992000","243303.008000","-41922.000000","0.000000","0.000000","0.000000","0.000000","747460.992000","-73510.000000","673950.976000","-594396.992000","79554.000000","-73431.000000","-49931.000000","0.000000","0.000000","-50952.000000","74.000000","-11865.000000","107482.000000","-119347.000000","1051.000000","1051.000000","0.000000","-105500.000000","13098.000000","20382.000000","0.000000","0.000000","625.000000","-71395.000000","CSAN3","2008-01-30 22:00:00"
"7","30/04/2008","7393466.880000","2283604.992000","1010088.000000","0.000000","215238.000000","570518.016000","0.000000","0.000000","0.000000","487760.992000","1052582.976000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1052582.976000","120312.000000","2771358.976000","1160669.952000","4938.000000","7393466.880000","577692.032000","0.000000","190990.000000","116090.000000","83344.000000","0.000000","0.000000","106564.000000","80704.000000","0.000000","3472259.072000","2191226.056000","0.000000","448608.000000","0.000000","0.000000","832425.024000","0.000000","0.000000","17716.000000","3325799.936000","2935268.096000","0.000000","194368.000000","196164.000000","0.000000","0.000000","0.000000","0.000000","0.000000","916392.064000","-73368.992000","843023.104000","-693617.024000","149405.984000","-74876.992000","-57706.992000","0.000000","0.000000","-40327.008000","6359.000000","1011.008000","102992.992000","-101982.000000","3693.000000","3693.000000","0.000000","-12442.000000","-7394.000000","14038.000000","0.000000","0.000000","528.000000","-5270.000000","CSAN3","2008-04-29 21:00:00"
"8","31/07/2008","7368545.792000","2140018.944000","633926.976000","0.000000","457328.000000","905595.008000","0.000000","0.000000","0.000000","143168.992000","1105976.064000","0.000000","0.000000","981881.024000","0.000000","0.000000","0.000000","0.000000","0.000000","124095.000000","124225.000000","2864721.920000","1115560.960000","18043.000000","7368545.792000","693379.008000","0.000000","331567.008000","114951.000000","66367.000000","0.000000","0.000000","61526.000000","118968.000000","0.000000","3390543.872000","2047934.976000","0.000000","492812.000000","0.000000","0.000000","849796.992000","0.000000","0.000000","16966.000000","3267656.960000","2935268.096000","0.000000","194152.992000","196164.000000","-57928.000000","0.000000","0.000000","0.000000","0.000000","692668.992000","-53079.000000","639590.016000","-626027.008000","13563.000000","-85708.000000","-59728.000000","0.000000","0.000000","-41023.000000","160.000000","86937.000000","109939.000000","-23002.000000","4502.000000","4502.000000","0.000000","-81297.000000","-13677.000000","36081.000000","0.000000","0.000000","750.000000","-58143.000000","CSAN3","2008-07-30 21:00:00"
"9","31/10/2008","9273714.688000","3740852.992000","1562820.992000","0.000000","538161.984000","1439901.952000","0.000000","0.000000","0.000000","199968.000000","1302561.024000","0.000000","0.000000","1178605.952000","0.000000","0.000000","0.000000","0.000000","0.000000","123955.000000","129213.000000","2993156.096000","1074496.000000","33436.000000","9273714.688000","1215826.944000","0.000000","492007.008000","109725.000000","301649.984000","0.000000","0.000000","169479.008000","142966.000000","0.000000","4036956.928000","2679346.944000","0.000000","484496.992000","0.000000","0.000000","873113.024000","0.000000","0.000000","258131.008000","3762800.128000","3815268.096000","-4186.000000","193800.992000","196164.000000","-438247.008000","0.000000","0.000000","0.000000","0.000000","760100.992000","-45025.000000","715075.968000","-547134.976000","167940.992000","-88606.000000","-66515.000000","0.000000","0.000000","-76662.000000","1234.000000","-540768.000000","137784.992000","-678553.024000","6235.000000","6235.000000","0.000000","-597140.992000","22185.000000","187775.008000","0.000000","0.000000","6510.000000","-380671.008000","CSAN3","2008-10-30 22:00:00"
"10","31/01/2009","11039395.840000","3408997.120000","689651.968000","0.000000","993372.032000","1643650.944000","0.000000","0.000000","0.000000","82322.000000","1467153.024000","0.000000","0.000000","1308055.040000","0.000000","0.000000","0.000000","0.000000","0.000000","159098.000000","280457.984000","3364969.984000","2493787.904000","24030.000000","11039395.840000","2358248.960000","0.000000","518215.008000","163206.000000","1484708.992000","2472.000000","0.000000","111974.000000","77673.000000","0.000000","4953081.856000","2904493.056000","405335.008000","529192.992000","0.000000","0.000000","1114061.056000","0.000000","0.000000","31512.000000","3696552.960000","3815268.096000","-4186.000000","93242.000000","196164.000000","-403935.008000","0.000000","0.000000","0.000000","0.000000","2746351.104000","-180718.000000","2565633.024000","-2187600.896000","378032.000000","-156752.000000","-72265.000000","0.000000","14357.000000","-65159.000000","13551.000000","-159183.008000","317032.000000","-476215.008000","105869.000000","105869.000000","0.000000","58450.000000","-1429.000000","-51856.000000","0.000000","0.000000","43.000000","5208.000000","CSAN3","2009-01-30 22:00:00"
