"","Tempo","Ativo Total","Ativo Circulante","Disponibilidades","Aplicações Interfinanceiras de Liquidez","Títulos e Valores Mobiliários","Relações Interfinanceiras","Relações Interdependências","Operações de Crédito","Operações de Arrendamento Mercantil","Outros Créditos","Outros Valores e Bens","Ativo Realizável a Longo Prazo","Aplicações Interfinanceiras de Liquidez","Títulos e Valores Mobiliários","Relações Interfinanceiras","Relações Interdependências","Operações de Crédito","Operações de Arrendamento Mercantil","Outros Créditos","Outros Valores e Bens","Ativo Permanente","Investimentos","Imobilizado de Uso","Imobilizado de Arrendamento","Intangível","Diferido","Passivo Total","Passivo Circulante","Depósitos","Captações no Mercado Aberto","Recursos de Aceites e Emissão de Títulos","Relações Interfinanceiras","Relações Interdependências","Obrigações por Empréstimos","Obrigações por Repasse do País","Obrigações por Repasse do Exterior","Outras Obrigações","Passivo Exigível a Longo Prazo","Depósitos","Captações no Mercado Aberto","Recursos de Aceites e Emissão de Títulos","Relações Interfinanceiras","Relações Interdependências","Obrigações por Empréstimos","Obrigações por Repasse do País","Obrigações por Repasse do Exterior","Outras Obrigações","Resultados de Exercícios Futuros","Part. de Acionistas Não Controladores.x","Patrimônio Líquido","Capital Social Realizado","Reservas de Capital","Reservas de Reavaliação","Reservas de Lucro","Ajustes de Avaliação Patrimonial","Lucros/Prejuízos Acumulados","Receitas da Intermediação Financeira","Despesas da Intermediação Financeira","Resultado Bruto Intermediação Financeira","Outras Despesas/Receitas Operacionais","Receitas de Prestação de Serviços","Despesas de Pessoal","Outras Despesas Administrativas","Despesas Tributárias","Outras Receitas Operacionais","Outras Despesas Operacionais","Resultado da Equivalência Patrimonial","Resultado Operacional","Resultado Não Operacional","Receitas","Despesas","Resultado Antes Tributação/Participações","Provisão para IR e Contribuição Social","IR Diferido","Participações/Contribuições Estatutárias","Reversão dos Juros sobre Capital Próprio","Part. de Acionistas Não Controladores.y","Lucro/Prejuízo do Período","names","Time"
"1","30/09/2006","1333609.984000","858497.984000","23377.000000","66651.000000","434935.008000","90122.000000","0.000000","159046.000000","0.000000","83595.000000","772.000000","434808.000000","0.000000","231983.008000","42776.000000","0.000000","137903.008000","0.000000","22146.000000","0.000000","40304.000000","100.000000","33394.000000","0.000000","0.000000","6810.000000","1333609.984000","948600.000000","875608.000000","0.000000","0.000000","14818.000000","1052.000000","0.000000","5631.000000","0.000000","51491.000000","260187.008000","193003.008000","26038.000000","0.000000","0.000000","0.000000","0.000000","29456.000000","0.000000","11690.000000","36.000000","0.000000","124787.000000","100920.000000","0.000000","0.000000","2135.000000","0.000000","21732.000000","60539.000000","-24875.000000","35664.000000","12578.000000","9571.000000","-19465.000000","-21999.000000","-995.000000","45586.000000","-120.000000","0.000000","48242.000000","16.000000","409.000000","-393.000000","48258.000000","-15558.000000","-418.000000","-930.000000","0.000000","0.000000","31352.000000","BGIP4","2006-09-29 21:00:00"
"2","31/12/2006","1443795.968000","955232.000000","20110.000000","164448.992000","452024.000000","107326.000000","0.000000","171303.008000","0.000000","39487.000000","533.000000","443177.984000","0.000000","218555.008000","43007.000000","0.000000","144214.000000","0.000000","37402.000000","0.000000","45386.000000","100.000000","35911.000000","0.000000","0.000000","9375.000000","1443795.968000","918940.032000","850041.024000","34039.000000","0.000000","861.000000","1775.000000","0.000000","6779.000000","0.000000","25445.000000","418961.984000","195638.000000","181283.008000","0.000000","0.000000","0.000000","0.000000","29970.000000","0.000000","12071.000000","31.000000","0.000000","105863.000000","100920.000000","0.000000","0.000000","4922.000000","0.000000","21.000000","60700.992000","-22621.000000","38079.992000","-28357.000000","10881.000000","-23290.000000","-15199.000000","-1210.000000","615.000000","-154.000000","0.000000","9723.000000","-452.000000","1327.000000","-2154.000000","9271.000000","-1401.000000","252.000000","-5053.000000","0.000000","0.000000","3069.000000","BGIP4","2006-12-30 22:00:00"
"3","31/03/2007","1400046.976000","889736.000000","23636.000000","96239.000000","455910.016000","97806.000000","0.000000","190428.992000","0.000000","25029.000000","687.000000","466248.000000","0.000000","221706.000000","43253.000000","0.000000","148279.008000","0.000000","53010.000000","0.000000","44063.000000","100.000000","34904.000000","0.000000","0.000000","9059.000000","1400046.976000","1035302.016000","965235.968000","16882.000000","0.000000","18021.000000","1318.000000","0.000000","7357.000000","0.000000","26488.000000","256496.992000","212400.000000","1494.000000","0.000000","0.000000","0.000000","0.000000","29043.000000","0.000000","13560.000000","37.000000","0.000000","108211.000000","100920.000000","0.000000","0.000000","4922.000000","0.000000","2369.000000","54963.000000","-22729.000000","32234.000000","-23457.000000","10365.000000","-21362.000000","-12741.000000","-1111.000000","1484.000000","-92.000000","0.000000","8777.000000","-1488.000000","401.000000","-1889.000000","7289.000000","-2760.000000","0.000000","-510.000000","0.000000","0.000000","4019.000000","BGIP4","2007-03-30 21:00:00"
"4","30/06/2007","1549720.064000","1100978.944000","24031.000000","234331.008000","516372.992000","104852.000000","0.000000","199180.000000","0.000000","21764.000000","448.000000","406688.992000","6056.000000","146120.992000","60284.000000","0.000000","146250.000000","0.000000","47978.000000","0.000000","42052.000000","100.000000","33996.000000","0.000000","0.000000","7956.000000","1549720.064000","981563.008000","865046.016000","38109.000000","0.000000","13843.000000","973.000000","0.000000","6273.000000","0.000000","57319.000000","465507.008000","415712.000000","2535.000000","0.000000","0.000000","0.000000","0.000000","30104.000000","0.000000","17156.000000","26.000000","0.000000","102624.000000","100920.000000","0.000000","0.000000","85.000000","0.000000","1619.000000","85042.000000","-22590.000000","62452.000000","-34156.000000","10280.000000","-25265.000000","-13042.000000","-4904.000000","-1111.000000","-114.000000","0.000000","28296.000000","-1639.000000","0.000000","0.000000","26657.000000","-4180.000000","1354.000000","510.000000","0.000000","0.000000","24341.000000","BGIP4","2007-06-29 21:00:00"
"5","30/09/2007","1538274.048000","1038652.992000","24656.000000","119067.000000","532012.992000","114165.000000","0.000000","226818.000000","0.000000","21410.000000","524.000000","459920.000000","14312.000000","180414.000000","60683.000000","0.000000","153031.008000","0.000000","51480.000000","0.000000","39701.000000","100.000000","32675.000000","0.000000","0.000000","6926.000000","1538274.048000","960576.000000","872742.016000","0.000000","0.000000","17565.000000","1417.000000","0.000000","6353.000000","0.000000","62499.000000","468180.000000","413844.000000","6734.000000","0.000000","0.000000","0.000000","0.000000","30196.000000","0.000000","17406.000000","12.000000","0.000000","109506.000000","100920.000000","0.000000","0.000000","85.000000","0.000000","8501.000000","58192.000000","-23812.000000","34380.000000","-23958.000000","10968.000000","-21059.000000","-11150.000000","-2782.000000","150.000000","-85.000000","0.000000","10422.000000","8.000000","372.000000","-364.000000","10430.000000","-3411.000000","-137.000000","0.000000","0.000000","0.000000","6882.000000","BGIP4","2007-09-29 21:00:00"
"6","31/12/2007","1640887.040000","1126894.976000","20502.000000","194796.000000","521424.000000","133647.000000","0.000000","243154.000000","0.000000","12893.000000","479.000000","475320.000000","14716.000000","188832.000000","60983.000000","0.000000","152078.000000","0.000000","58711.000000","0.000000","38672.000000","100.000000","31283.000000","0.000000","0.000000","7289.000000","1640887.040000","1052636.992000","972307.968000","16615.000000","0.000000","1550.000000","1275.000000","0.000000","7032.000000","0.000000","53857.000000","480008.992000","410515.008000","21099.000000","0.000000","0.000000","0.000000","0.000000","30579.000000","0.000000","17816.000000","48.000000","0.000000","108193.000000","100920.000000","0.000000","0.000000","7273.000000","0.000000","0.000000","54416.000000","-24201.000000","30214.992000","-21328.000000","10822.000000","-19787.000000","-11633.000000","-2603.000000","1884.000000","-11.000000","0.000000","8887.000000","-182.000000","699.000000","-2520.000000","8705.000000","1062.000000","-1217.000000","-3283.000000","0.000000","0.000000","5267.000000","BGIP4","2007-12-30 22:00:00"
"7","31/03/2008","1838918.016000","1305847.040000","23240.000000","417711.008000","381440.000000","182202.000000","0.000000","282516.000000","0.000000","18021.000000","717.000000","491743.008000","15124.000000","235078.000000","17581.000000","0.000000","158751.008000","0.000000","65209.000000","0.000000","41328.000000","100.000000","30043.000000","0.000000","0.000000","11185.000000","1838918.016000","1021977.984000","910078.976000","0.000000","0.000000","36984.000000","1581.000000","0.000000","7493.000000","0.000000","65841.000000","701742.016000","634974.016000","14418.000000","0.000000","0.000000","0.000000","0.000000","34365.000000","0.000000","17985.000000","53.000000","0.000000","115145.000000","100920.000000","0.000000","0.000000","7273.000000","0.000000","6952.000000","61388.000000","-27542.000000","33846.000000","-22301.000000","12731.000000","-19665.000000","-11907.000000","-3545.000000","144.000000","-59.000000","0.000000","11545.000000","67.000000","414.000000","-347.000000","11612.000000","-3895.000000","0.000000","-765.000000","0.000000","0.000000","6952.000000","BGIP4","2008-03-30 21:00:00"
"8","30/06/2008","2053552.000000","1385389.952000","25162.000000","398375.008000","391376.000000","222968.992000","0.000000","324747.008000","0.000000","21929.000000","832.000000","626259.008000","17934.000000","357740.000000","23518.000000","0.000000","159939.008000","0.000000","67128.000000","0.000000","41903.000000","490.000000","29340.000000","0.000000","0.000000","12073.000000","2053552.000000","1048340.992000","932065.024000","0.000000","0.000000","34647.000000","1478.000000","0.000000","8499.000000","0.000000","71652.000000","882374.976000","813414.976000","17156.000000","0.000000","0.000000","0.000000","0.000000","34927.000000","0.000000","16877.000000","40.000000","0.000000","122796.000000","100920.000000","380.000000","0.000000","7984.000000","0.000000","13512.000000","71189.000000","-32990.000000","38199.000000","-24928.000000","12116.000000","-20005.000000","-14112.000000","-3151.000000","325.000000","-101.000000","0.000000","13271.000000","155.000000","661.000000","-506.000000","13426.000000","-3360.000000","1749.000000","-1220.000000","0.000000","0.000000","10595.000000","BGIP4","2008-06-29 21:00:00"
"9","30/09/2008","2050608.000000","1308295.936000","30605.000000","305591.008000","392817.984000","181274.000000","0.000000","365932.992000","0.000000","31411.000000","664.000000","701283.008000","9489.000000","432580.992000","23850.000000","0.000000","173772.000000","0.000000","61591.000000","0.000000","41029.000000","490.000000","28377.000000","0.000000","0.000000","12162.000000","2050608.000000","1082861.952000","978774.016000","0.000000","0.000000","24547.000000","1288.000000","0.000000","9409.000000","0.000000","68844.000000","837193.024000","771740.032000","14214.000000","0.000000","0.000000","0.000000","0.000000","34094.000000","0.000000","17145.000000","43.000000","0.000000","130510.000000","100920.000000","379.000000","0.000000","7984.000000","0.000000","21227.000000","81147.000000","-40307.000000","40840.000000","-24302.000000","13472.000000","-22423.000000","-12336.000000","-3198.000000","242.000000","-59.000000","0.000000","16538.000000","-325.000000","475.000000","-800.000000","16213.000000","-5373.000000","253.000000","-1698.000000","0.000000","0.000000","9395.000000","BGIP4","2008-09-29 21:00:00"
"10","31/12/2008","2150383.104000","1426044.032000","33950.000000","551782.016000","260990.000000","172071.008000","0.000000","393376.000000","0.000000","13150.000000","725.000000","679344.000000","0.000000","385425.984000","24191.000000","0.000000","200070.000000","0.000000","69657.000000","0.000000","44995.000000","489.000000","29660.000000","0.000000","10521.000000","4325.000000","2150383.104000","1150041.984000","1077314.944000","0.000000","0.000000","533.000000","1965.000000","0.000000","9627.000000","0.000000","60602.000000","868971.008000","804320.000000","11209.000000","0.000000","0.000000","0.000000","0.000000","36235.000000","0.000000","17207.000000","28.000000","0.000000","131342.000000","100920.000000","380.000000","0.000000","30042.000000","0.000000","0.000000","88125.984000","-49393.000000","38733.000000","-25902.000000","15504.000000","-23047.000000","-15005.000000","-3635.000000","353.000000","-72.000000","0.000000","12831.000000","-283.000000","-1550.000000","1653.000000","12548.000000","-1801.000000","-2002.000000","-1575.000000","0.000000","0.000000","7170.000000","BGIP4","2008-12-30 22:00:00"
"11","31/03/2009","2273541.120000","1507719.936000","30232.000000","649198.976000","242395.008000","153311.008000","0.000000","411945.984000","0.000000","19554.000000","1083.000000","720659.968000","0.000000","411872.000000","24499.000000","0.000000","219366.000000","0.000000","64923.000000","0.000000","45161.000000","490.000000","28476.000000","0.000000","12479.000000","3716.000000","2273541.120000","1219870.976000","1120823.040000","0.000000","0.000000","19143.000000","1432.000000","0.000000","11666.000000","0.000000","66807.000000","916025.024000","834353.984000","30001.000000","0.000000","0.000000","0.000000","0.000000","37302.000000","0.000000","14368.000000","34.000000","0.000000","137611.008000","100920.000000","380.000000","0.000000","30042.000000","0.000000","6269.000000","83298.000000","-39775.000000","43523.000000","-29022.000000","13529.000000","-25705.000000","-13721.000000","-3233.000000","176.000000","-68.000000","0.000000","14501.000000","-5.000000","653.000000","-658.000000","14496.000000","-5236.000000","0.000000","-995.000000","0.000000","0.000000","8265.000000","BGIP4","2009-03-30 21:00:00"
