"","Tempo","Ativo Total","Ativo Circulante","Disponibilidades","Aplicações Interfinanceiras de Liquidez","Títulos e Valores Mobiliários","Relações Interfinanceiras","Relações Interdependências","Operações de Crédito","Operações de Arrendamento Mercantil","Outros Créditos","Outros Valores e Bens","Ativo Realizável a Longo Prazo","Aplicações Interfinanceiras de Liquidez","Títulos e Valores Mobiliários","Relações Interfinanceiras","Relações Interdependências","Operações de Crédito","Operações de Arrendamento Mercantil","Outros Créditos","Outros Valores e Bens","Ativo Permanente","Investimentos","Imobilizado de Uso","Imobilizado de Arrendamento","Intangível","Diferido","Passivo Total","Passivo Circulante","Depósitos","Captações no Mercado Aberto","Recursos de Aceites e Emissão de Títulos","Relações Interfinanceiras","Relações Interdependências","Obrigações por Empréstimos","Obrigações por Repasse do País","Obrigações por Repasse do Exterior","Outras Obrigações","Passivo Exigível a Longo Prazo","Depósitos","Captações no Mercado Aberto","Recursos de Aceites e Emissão de Títulos","Relações Interfinanceiras","Relações Interdependências","Obrigações por Empréstimos","Obrigações por Repasse do País","Obrigações por Repasse do Exterior","Outras Obrigações","Resultados de Exercícios Futuros","Part. de Acionistas Não Controladores.x","Patrimônio Líquido","Capital Social Realizado","Reservas de Capital","Reservas de Reavaliação","Reservas de Lucro","Ajustes de Avaliação Patrimonial","Lucros/Prejuízos Acumulados","Receitas da Intermediação Financeira","Despesas da Intermediação Financeira","Resultado Bruto Intermediação Financeira","Outras Despesas/Receitas Operacionais","Receitas de Prestação de Serviços","Despesas de Pessoal","Outras Despesas Administrativas","Despesas Tributárias","Outras Receitas Operacionais","Outras Despesas Operacionais","Resultado da Equivalência Patrimonial","Resultado Operacional","Resultado Não Operacional","Receitas","Despesas","Resultado Antes Tributação/Participações","Provisão para IR e Contribuição Social","IR Diferido","Participações/Contribuições Estatutárias","Reversão dos Juros sobre Capital Próprio","Part. de Acionistas Não Controladores.y","Lucro/Prejuízo do Período","names","Time"
"1","31/03/2007","3286471.936000","2813211.904000","15887.000000","66039.000000","1544635.008000","3040.000000","0.000000","1078920.960000","0.000000","94124.000000","10566.000000","454304.992000","1844.000000","5545.000000","0.000000","0.000000","384544.000000","0.000000","53121.000000","9251.000000","18955.000000","633.000000","14096.000000","0.000000","0.000000","4226.000000","3286471.936000","1915921.024000","629998.016000","932283.008000","83366.000000","32812.000000","355.000000","96219.000000","88977.000000","1200.000000","50711.000000","665870.016000","345064.000000","0.000000","133224.000000","0.000000","0.000000","36014.000000","46125.000000","61488.000000","43955.000000","2277.000000","0.000000","702403.968000","422606.016000","269767.008000","0.000000","0.000000","479.000000","9552.000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PINE4","2007-03-30 21:00:00"
"2","30/06/2007","4116867.072000","3471393.024000","16660.000000","73187.000000","1923721.984000","16813.000000","0.000000","1328204.032000","0.000000","97300.000000","15507.000000","625843.008000","5598.000000","0.000000","0.000000","0.000000","532703.008000","0.000000","72779.000000","14763.000000","19631.000000","634.000000","14214.000000","0.000000","0.000000","4783.000000","4116867.072000","2753658.880000","838880.000000","1395912.960000","174192.000000","65386.000000","3499.000000","110571.000000","91881.000000","1132.000000","72205.000000","626188.992000","402567.008000","0.000000","58254.000000","0.000000","11.000000","0.000000","52108.000000","57762.000000","55487.000000","1241.000000","0.000000","735777.984000","422606.016000","269767.008000","0.000000","42748.000000","657.000000","0.000000","192199.008000","-100499.000000","91700.000000","-45910.000000","2758.000000","-10902.000000","-39774.000000","-7199.000000","30784.000000","-21577.000000","0.000000","45790.000000","245.000000","0.000000","0.000000","46035.000000","-22515.000000","10614.000000","-765.000000","16385.000000","0.000000","49754.000000","PINE4","2007-06-29 21:00:00"
"3","30/09/2007","4790988.800000","3765393.920000","31187.000000","165812.992000","1745419.008000","17173.000000","0.000000","1632958.976000","0.000000","156684.992000","16158.000000","1005744.000000","1646.000000","10339.000000","0.000000","0.000000","886651.008000","0.000000","88149.000000","18959.000000","19851.000000","741.000000","13874.000000","0.000000","0.000000","5236.000000","4790988.800000","3088891.904000","1029230.016000","1432304.000000","58901.000000","109588.000000","18721.000000","239463.008000","90317.000000","1111.000000","109257.000000","930675.008000","652654.016000","0.000000","110286.000000","0.000000","80.000000","0.000000","43895.000000","55143.000000","68617.000000","1801.000000","0.000000","769620.992000","422606.016000","269873.984000","0.000000","76691.000000","450.000000","0.000000","258916.000000","-122125.000000","136791.008000","-79377.000000","7555.000000","-13263.000000","-52070.000000","-8304.000000","8044.000000","-21339.000000","0.000000","57414.000000","-33.000000","0.000000","-33.000000","57381.000000","-24836.000000","7606.000000","-6210.000000","10819.000000","0.000000","44760.000000","PINE4","2007-09-29 21:00:00"
"4","31/12/2007","5699611.136000","4431128.064000","16089.000000","222107.008000","2322281.984000","66998.000000","0.000000","1583432.960000","0.000000","208264.000000","11955.000000","1248036.992000","9183.000000","11282.000000","0.000000","0.000000","1105760.000000","0.000000","103754.000000","18058.000000","20446.000000","741.000000","14002.000000","0.000000","0.000000","5703.000000","5699611.136000","3792794.880000","1199200.000000","1874553.984000","124876.000000","133163.000000","11027.000000","204715.008000","58804.000000","1076.000000","185380.000000","1104012.032000","751022.016000","0.000000","141994.000000","0.000000","0.000000","40721.000000","45731.000000","53115.000000","71429.000000","2376.000000","0.000000","800428.032000","422606.016000","269875.008000","0.000000","108191.000000","-244.000000","0.000000","283331.968000","-120310.976000","163020.992000","-70949.008000","5618.000000","-14849.000000","-71451.008000","-9375.000000","7998.000000","11110.000000","0.000000","92072.008000","97.000000","0.000000","33.000000","92169.000000","-26100.000000","8399.000000","-1573.000000","-27204.000000","0.000000","45691.000000","PINE4","2007-12-30 22:00:00"
"5","31/03/2008","5889260.032000","4841533.952000","17406.000000","124113.000000","2402842.880000","47933.000000","0.000000","2029537.024000","0.000000","203835.008000","15867.000000","1027731.008000","9342.000000","2122.000000","0.000000","0.000000","892033.984000","0.000000","115146.000000","9087.000000","19995.000000","742.000000","13667.000000","0.000000","0.000000","5586.000000","5889260.032000","3999310.080000","1298605.952000","1967997.952000","109094.000000","193602.000000","134.000000","239800.992000","51354.000000","1053.000000","137668.000000","1072305.984000","695644.032000","0.000000","116959.000000","0.000000","0.000000","55824.000000","37587.000000","52449.000000","113843.000000","2488.000000","0.000000","815155.968000","422606.016000","269875.008000","0.000000","122938.000000","-263.000000","0.000000","281376.000000","-122449.000000","158927.008000","-110770.000000","5215.000000","-15849.000000","-70346.000000","-9231.000000","5866.000000","-26425.000000","0.000000","48157.000000","45.000000","0.000000","0.000000","48202.000000","-24206.000000","10191.000000","-10558.000000","12228.000000","0.000000","35857.000000","PINE4","2008-03-30 21:00:00"
"6","30/06/2008","5910559.744000","4869870.080000","15699.000000","259227.008000","1801265.024000","86281.000000","0.000000","2543651.072000","0.000000","129676.000000","34071.000000","1026625.024000","8984.000000","101278.000000","0.000000","0.000000","767784.000000","0.000000","141294.000000","7285.000000","14065.000000","918.000000","7739.000000","0.000000","0.000000","5408.000000","5910559.744000","3425550.080000","1401383.040000","1318775.040000","58715.000000","179452.992000","1776.000000","224174.000000","48781.000000","953.000000","191540.000000","1648595.968000","944556.992000","0.000000","415848.000000","0.000000","0.000000","64250.000000","46509.000000","47733.000000","129699.000000","2800.000000","0.000000","833614.016000","422606.016000","270052.000000","0.000000","140924.992000","31.000000","0.000000","207207.008000","-143406.000000","63801.000000","-28923.000000","5637.000000","-15054.000000","-40149.000000","-8449.000000","57400.000000","-28308.000000","0.000000","34878.000000","2537.000000","0.000000","0.000000","37415.000000","-2354.000000","0.000000","-3596.000000","12414.000000","0.000000","43879.000000","PINE4","2008-06-29 21:00:00"
"7","30/09/2008","4741052.928000","3633605.888000","18002.000000","376927.008000","465944.992000","11698.000000","0.000000","2511678.976000","0.000000","230438.000000","18917.000000","1086685.952000","10089.000000","75983.000000","0.000000","0.000000","807993.984000","0.000000","175176.992000","17443.000000","20761.000000","1056.000000","7690.000000","0.000000","0.000000","12015.000000","4741052.928000","2234092.032000","1175378.048000","37152.000000","169679.008000","205572.000000","510.000000","350452.000000","48369.000000","1157.000000","245823.008000","1673986.048000","886217.024000","0.000000","470216.000000","0.000000","0.000000","78213.000000","40305.000000","57405.000000","141630.000000","2184.000000","0.000000","830790.976000","422606.016000","270190.016000","0.000000","137931.008000","64.000000","0.000000","415838.016000","-303472.000000","112366.000000","-74035.000000","2613.000000","-15261.000000","-26741.000000","-12190.000000","5732.000000","-28188.000000","0.000000","38331.000000","-1806.000000","0.000000","0.000000","36525.000000","-10667.000000","0.000000","-5033.000000","12604.000000","0.000000","33429.000000","PINE4","2008-09-29 21:00:00"
"8","31/12/2008","6196879.872000","5089300.992000","26759.000000","88270.000000","2667150.080000","1617.000000","0.000000","1868717.056000","0.000000","410384.992000","26403.000000","1085324.032000","10390.000000","120909.000000","0.000000","0.000000","773835.008000","0.000000","166430.000000","13760.000000","22255.000000","1056.000000","17830.000000","0.000000","3369.000000","0.000000","6196879.872000","4020685.056000","867273.024000","2118834.048000","88729.000000","207242.000000","5290.000000","580998.976000","44474.000000","1388.000000","106456.000000","1347265.024000","556169.984000","0.000000","446508.000000","0.000000","0.000000","81891.000000","40541.000000","70086.000000","152068.992000","1757.000000","0.000000","827172.992000","422606.016000","223980.992000","0.000000","179138.000000","1448.000000","0.000000","655170.944000","-534432.960000","120737.984000","-103807.008000","10233.000000","-13702.000000","-28950.000000","-5921.000000","8906.000000","-74373.000000","0.000000","16930.992000","-1099.000000","0.000000","0.000000","15832.000000","-60045.000000","54069.000000","-2831.000000","12797.000000","0.000000","19822.000000","PINE4","2008-12-30 22:00:00"
"9","31/03/2009","5536847.872000","4527324.160000","50796.000000","91964.000000","2272538.112000","1577.000000","0.000000","1589086.976000","0.000000","489156.992000","32205.000000","988996.992000","44115.000000","71520.000000","0.000000","0.000000","674697.024000","0.000000","188012.000000","10653.000000","20527.000000","1056.000000","16433.000000","0.000000","3038.000000","0.000000","5536847.872000","3500201.984000","971843.968000","1482980.992000","81038.000000","209512.992000","1240.000000","654611.968000","36282.000000","1337.000000","61355.000000","1216715.008000","547804.032000","0.000000","333444.000000","0.000000","0.000000","57926.000000","35698.000000","69432.000000","172411.008000","1363.000000","0.000000","818568.000000","422606.016000","219194.000000","0.000000","174663.008000","2105.000000","0.000000","368350.016000","-266876.000000","101474.000000","-83264.000000","10937.000000","-10521.000000","-20765.000000","-6136.000000","5185.000000","-61964.000000","0.000000","18210.000000","1317.000000","0.000000","0.000000","19527.000000","-18046.000000","9357.000000","-3400.000000","12632.000000","0.000000","20070.000000","PINE4","2009-03-30 21:00:00"
"10","30/06/2009","6274571.776000","5162630.144000","23390.000000","115350.000000","2761060.096000","2583.000000","0.000000","1586571.008000","0.000000","647939.968000","25736.000000","1094339.968000","35026.000000","30277.000000","0.000000","0.000000","825033.024000","0.000000","196887.008000","7117.000000","17602.000000","1056.000000","13825.000000","0.000000","2721.000000","0.000000","6274571.776000","4407693.824000","1273550.976000","1914848.000000","223008.000000","117905.000000","1660.000000","591748.992000","27198.000000","1127.000000","256648.000000","1054120.000000","575273.024000","0.000000","151852.000000","0.000000","0.000000","50241.000000","40554.000000","58524.000000","177676.000000","1474.000000","0.000000","811283.968000","422606.016000","219194.000000","0.000000","169322.000000","162.000000","0.000000","219715.008000","-324696.000000","-104981.000000","126658.000000","29138.000000","-9267.000000","-21804.000000","-7716.000000","175676.000000","-39369.000000","0.000000","21677.000000","886.000000","1438.000000","-552.000000","22563.000000","-9056.000000","0.000000","-4532.000000","12825.000000","0.000000","21800.000000","PINE4","2009-06-29 21:00:00"
