"","Tempo","Ativo Total","Ativo Circulante","Caixa e Equivalentes de Caixa","Aplicações Financeiras","Contas a Receber","Estoques","Ativos Biológicos","Tributos a Recuperar","Despesas Antecipadas","Outros Ativos Circulantes","Ativo Realizável a Longo Prazo","Aplicações Financeiras Avaliadas a Valor Justo","Aplicações Financeiras Avaliadas ao Custo Amortizado","Contas a Receber","Estoques","Ativos Biológicos","Tributos Diferidos","Despesas Antecipadas","Créditos com Partes Relacionadas","Outros Ativos Não Circulantes","Investimentos","Imobilizado","Intangível","Diferido","Passivo Total","Passivo Circulante","Obrigações Sociais e Trabalhistas","Fornecedores","Obrigações Fiscais","Empréstimos e Financiamentos","Passivos com Partes Relacionadas","Dividendos e JCP a Pagar","Outros","Provisões","Passivos sobre Ativos Não-Correntes a Venda e Descontinuados","Passivo Não Circulante","Empréstimos e Financiamentos","Passivos com Partes Relacionadas","Outros","Tributos Diferidos","Adiantamento para Futuro Aumento Capital","Provisões","Passivos sobre Ativos Não-Correntes a Venda e Descontinuados","Lucros e Receitas a Apropriar","Participação dos Acionistas Não Controladores","Patrimônio Líquido","Capital Social Realizado","Reservas de Capital","Reservas de Reavaliação","Reservas de Lucros","Lucros/Prejuízos Acumulados","Ajustes de Avaliação Patrimonial","Ajustes Acumulados de Conversão","Outros Resultados Abrangentes","Adiantamento para Futuro Aumento Capital","Receita Bruta de Vendas e/ou Serviços","Deduções da Receita Bruta","Receita Líquida de Vendas e/ou Serviços","Custo de Bens e/ou Serviços Vendidos","Resultado Bruto","Despesas Com Vendas","Despesas Gerais e Administrativas","Perdas pela Não Recuperabilidade de Ativos ","Outras Receitas Operacionais","Outras Despesas Operacionais","Resultado da Equivalência Patrimonial","Financeiras","Receitas Financeiras","Despesas Financeiras","Resultado Não Operacional","Receitas","Despesas","Resultado Antes Tributação/Participações","Provisão para IR e Contribuição Social","IR Diferido","Participações/Contribuições Estatutárias","Reversão dos Juros sobre Capital Próprio","Part. de Acionistas Não Controladores","Lucro/Prejuízo do Período","names","Time"
"1","31/12/2006","4156881.920000","310673.984000","34722.000000","0.000000","218439.008000","20274.000000","0.000000","0.000000","0.000000","37239.000000","194620.992000","0.000000","0.000000","194620.992000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","2952.000000","3544721.920000","103913.000000","0.000000","4156881.920000","366143.008000","0.000000","47544.000000","17386.000000","130385.000000","0.000000","143.000000","133965.000000","36720.000000","0.000000","1455187.968000","870142.976000","0.000000","272460.992000","0.000000","0.000000","312584.000000","0.000000","0.000000","0.000000","2335550.976000","831705.984000","41402.000000","150556.000000","689788.032000","0.000000","0.000000","0.000000","0.000000","622099.008000","317154.048000","-22573.000000","294580.992000","-129236.992000","165344.000000","-28301.000000","-51261.008000","0.000000","0.000000","2568.000000","0.000000","-27936.000000","4563.000000","-32499.000000","-2744.000000","769.000000","-3513.000000","57670.016000","-12471.000000","0.000000","0.000000","0.000000","0.000000","45199.000000","SAPR4","2006-12-30 22:00:00"
"2","31/03/2007","4223265.024000","325892.992000","45557.000000","0.000000","222324.000000","24121.000000","0.000000","0.000000","0.000000","33891.000000","194119.008000","0.000000","0.000000","194119.008000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","2952.000000","3597431.040000","102870.000000","0.000000","4223265.024000","371743.008000","0.000000","48340.000000","23020.000000","126804.000000","0.000000","143.000000","135128.992000","38307.000000","0.000000","1447411.968000","872027.008000","0.000000","269649.984000","0.000000","0.000000","305735.008000","0.000000","0.000000","0.000000","2404110.080000","831705.984000","44326.000000","149079.008000","689788.032000","51994.000000","0.000000","0.000000","0.000000","637217.024000","319371.008000","-23048.000000","296323.008000","-124570.000000","171752.992000","-24076.000000","-41564.000000","0.000000","0.000000","3754.000000","0.000000","-31820.000000","2672.000000","-34492.000000","-540.000000","2.000000","-542.000000","77507.000000","-26990.000000","0.000000","0.000000","0.000000","0.000000","50517.000000","SAPR4","2007-03-30 21:00:00"
"3","30/06/2007","4291966.976000","341540.000000","56817.000000","0.000000","222114.000000","23485.000000","0.000000","0.000000","0.000000","39124.000000","195295.008000","0.000000","0.000000","195295.008000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","2952.000000","3650353.920000","101826.000000","0.000000","4291966.976000","394707.008000","0.000000","59925.000000","17295.000000","130005.000000","0.000000","143.000000","140770.000000","46569.000000","0.000000","1452961.024000","874521.984000","0.000000","266063.008000","0.000000","0.000000","312376.000000","0.000000","0.000000","0.000000","2444299.008000","831705.984000","48541.000000","146992.000000","689788.032000","72147.000000","0.000000","0.000000","0.000000","655124.992000","317878.016000","-22950.000000","294928.000000","-127902.000000","167026.000000","-25328.000000","-47818.000000","0.000000","0.000000","-9303.000000","0.000000","-29025.000000","3399.000000","-32424.000000","-1825.000000","0.000000","-1825.000000","53727.000000","-11135.000000","0.000000","0.000000","0.000000","0.000000","42592.000000","SAPR4","2007-06-29 21:00:00"
"4","30/09/2007","4385077.760000","376560.000000","84166.000000","0.000000","229782.000000","23283.000000","0.000000","0.000000","0.000000","39329.000000","201728.992000","0.000000","0.000000","201728.992000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","2952.000000","3703054.080000","100783.000000","0.000000","4385077.760000","398926.016000","0.000000","42941.000000","28377.000000","126584.000000","0.000000","143.000000","146670.000000","54211.000000","0.000000","1481027.968000","868000.960000","0.000000","282312.000000","0.000000","0.000000","330715.008000","0.000000","0.000000","0.000000","2505124.096000","831705.984000","49782.000000","145212.000000","689788.032000","111571.000000","0.000000","0.000000","0.000000","677065.024000","330403.008000","-23879.000000","306524.000000","-128516.000000","178008.000000","-24698.000000","-44761.000000","0.000000","0.000000","-20166.000000","0.000000","-29045.000000","3581.000000","-32626.000000","-1659.000000","79.000000","-1738.000000","57679.000000","-20035.000000","0.000000","0.000000","0.000000","0.000000","37644.000000","SAPR4","2007-09-29 21:00:00"
"5","31/12/2007","4425930.752000","361220.000000","67457.000000","0.000000","223016.000000","24348.000000","0.000000","0.000000","0.000000","46399.000000","210016.992000","0.000000","0.000000","210016.992000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","2952.000000","3752001.024000","99741.000000","0.000000","4425930.752000","402183.008000","0.000000","50358.000000","20841.000000","128490.000000","0.000000","143.000000","159940.992000","42410.000000","0.000000","1485579.008000","855454.016000","0.000000","274031.008000","0.000000","0.000000","356094.016000","0.000000","0.000000","0.000000","2538169.088000","831705.984000","50175.000000","143420.000000","809940.992000","0.000000","0.000000","0.000000","0.000000","702926.976000","344971.968000","-24614.000000","320357.952000","-140527.008000","179831.008000","-20702.000000","-55993.000000","0.000000","0.000000","-43135.000000","0.000000","-28872.000000","4447.000000","-33319.000000","-940.000000","1.000000","-941.000000","30189.008000","-3988.000000","0.000000","0.000000","0.000000","0.000000","26201.000000","SAPR4","2007-12-30 22:00:00"
"6","31/03/2008","4486312.960000","385967.008000","89334.000000","0.000000","229744.000000","24056.000000","0.000000","0.000000","0.000000","42833.000000","212772.000000","0.000000","0.000000","212772.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","2952.000000","3785925.120000","98697.000000","0.000000","4486312.960000","394937.984000","0.000000","42600.000000","26651.000000","129079.000000","0.000000","143.000000","153274.000000","43191.000000","0.000000","1469921.024000","844895.016000","0.000000","268956.992000","0.000000","0.000000","356068.992000","0.000000","0.000000","0.000000","2621454.080000","831705.984000","50175.000000","141640.000000","809940.992000","57736.000000","0.000000","0.000000","0.000000","730256.000000","359344.000000","-26625.000000","332719.008000","-131590.000000","201128.992000","-22750.000000","-42667.000000","0.000000","0.000000","-17735.000000","0.000000","-30362.000000","4580.000000","-34942.000000","170.000000","524.000000","-354.000000","87785.000000","-29740.000000","0.000000","0.000000","0.000000","0.000000","58045.000000","SAPR4","2008-03-30 21:00:00"
"7","30/06/2008","4557967.872000","418105.984000","118401.000000","0.000000","225503.008000","23898.000000","0.000000","0.000000","0.000000","50304.000000","218658.000000","0.000000","0.000000","218658.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","2952.000000","3820598.016000","97654.000000","0.000000","4557967.872000","408872.992000","0.000000","46805.000000","18624.000000","137736.000000","0.000000","143.000000","152572.000000","52993.000000","0.000000","1497641.984000","856365.984000","0.000000","262855.008000","0.000000","0.000000","378420.992000","0.000000","0.000000","0.000000","2651452.928000","831705.984000","50175.000000","139858.000000","809940.992000","72142.000000","0.000000","0.000000","0.000000","747630.976000","342728.000000","-24741.000000","317987.008000","-137687.008000","180300.000000","-25642.000000","-50994.000000","0.000000","0.000000","-25611.000000","0.000000","-31002.000000","5286.000000","-36288.000000","-1629.000000","0.000000","-1629.000000","45422.000000","-6212.000000","0.000000","0.000000","0.000000","0.000000","39210.000000","SAPR4","2008-06-29 21:00:00"
"8","30/09/2008","4617142.784000","421212.000000","135803.008000","0.000000","217395.008000","23152.000000","0.000000","0.000000","0.000000","44862.000000","227571.008000","0.000000","0.000000","227571.008000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","2952.000000","3868796.928000","96611.000000","0.000000","4617142.784000","402064.000000","0.000000","43492.000000","25823.000000","138917.000000","0.000000","143.000000","132786.000000","60903.000000","0.000000","1515431.936000","855032.000000","0.000000","257174.000000","0.000000","0.000000","403225.984000","0.000000","0.000000","0.000000","2699646.976000","831705.984000","50175.000000","138076.992000","809940.992000","108855.000000","0.000000","0.000000","0.000000","760892.992000","349102.016000","-24792.000000","324310.016000","-142208.000000","182102.000000","-22551.000000","-48044.000000","0.000000","0.000000","-27243.000000","0.000000","-30189.000000","6689.000000","-36878.000000","-1466.000000","61.000000","-1527.000000","52609.000000","-17768.000000","0.000000","0.000000","0.000000","0.000000","34841.000000","SAPR4","2008-09-29 21:00:00"
"9","31/12/2008","4668298.240000","422107.008000","130746.000000","0.000000","222774.000000","22324.000000","0.000000","0.000000","0.000000","46263.000000","239004.000000","0.000000","0.000000","239004.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","2952.000000","3908667.904000","95567.000000","0.000000","4668298.240000","413996.000000","0.000000","57973.000000","19654.000000","140338.000000","0.000000","143.000000","146027.008000","49861.000000","0.000000","2317558.016000","853212.992000","0.000000","251396.000000","0.000000","775196.032000","437752.992000","0.000000","0.000000","0.000000","1936743.936000","831705.984000","50175.000000","136296.992000","918566.016000","0.000000","0.000000","0.000000","0.000000","0.000000","343569.024000","-26066.000000","317502.976000","-157574.016000","159928.960000","-28445.000000","-64019.008000","0.000000","26136.000000","-51991.000000","0.000000","-36748.000000","5374.000000","-42122.000000","2925.000000","-585.000000","3510.000000","7787.008000","1997.000000","0.000000","0.000000","0.000000","0.000000","9784.000000","SAPR4","2008-12-30 22:00:00"
"10","31/03/2009","4713268.224000","428815.008000","131186.000000","0.000000","228446.000000","22724.000000","0.000000","0.000000","0.000000","46459.000000","246900.000000","0.000000","0.000000","246900.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","2952.000000","3940076.032000","94525.000000","0.000000","4713268.224000","407299.008000","0.000000","46903.000000","24580.000000","141830.000000","0.000000","143.000000","143643.008000","50200.000000","0.000000","2322403.072000","837057.984000","0.000000","245700.000000","0.000000","788817.984000","450827.008000","0.000000","0.000000","0.000000","1983565.952000","831705.984000","50175.000000","134515.008000","918566.016000","48604.000000","0.000000","0.000000","0.000000","0.000000","367633.984000","-26315.000000","341319.008000","-146831.008000","194488.000000","-24198.000000","-48013.000000","0.000000","0.000000","-16831.000000","0.000000","-34722.000000","5505.000000","-40227.000000","0.000000","0.000000","0.000000","70724.000000","-24020.000000","0.000000","0.000000","0.000000","0.000000","46704.000000","SAPR4","2009-03-30 21:00:00"
