"","Tempo","Ativo Total","Ativo Circulante","Disponibilidades","Aplicações Interfinanceiras de Liquidez","Títulos e Valores Mobiliários","Relações Interfinanceiras","Relações Interdependências","Operações de Crédito","Operações de Arrendamento Mercantil","Outros Créditos","Outros Valores e Bens","Ativo Realizável a Longo Prazo","Aplicações Interfinanceiras de Liquidez","Títulos e Valores Mobiliários","Relações Interfinanceiras","Relações Interdependências","Operações de Crédito","Operações de Arrendamento Mercantil","Outros Créditos","Outros Valores e Bens","Ativo Permanente","Investimentos","Imobilizado de Uso","Imobilizado de Arrendamento","Intangível","Diferido","Passivo Total","Passivo Circulante","Depósitos","Captações no Mercado Aberto","Recursos de Aceites e Emissão de Títulos","Relações Interfinanceiras","Relações Interdependências","Obrigações por Empréstimos","Obrigações por Repasse do País","Obrigações por Repasse do Exterior","Outras Obrigações","Passivo Exigível a Longo Prazo","Depósitos","Captações no Mercado Aberto","Recursos de Aceites e Emissão de Títulos","Relações Interfinanceiras","Relações Interdependências","Obrigações por Empréstimos","Obrigações por Repasse do País","Obrigações por Repasse do Exterior","Outras Obrigações","Resultados de Exercícios Futuros","Part. de Acionistas Não Controladores.x","Patrimônio Líquido","Capital Social Realizado","Reservas de Capital","Reservas de Reavaliação","Reservas de Lucro","Ajustes de Avaliação Patrimonial","Lucros/Prejuízos Acumulados","Receitas da Intermediação Financeira","Despesas da Intermediação Financeira","Resultado Bruto Intermediação Financeira","Outras Despesas/Receitas Operacionais","Receitas de Prestação de Serviços","Despesas de Pessoal","Outras Despesas Administrativas","Despesas Tributárias","Outras Receitas Operacionais","Outras Despesas Operacionais","Resultado da Equivalência Patrimonial","Resultado Operacional","Resultado Não Operacional","Receitas","Despesas","Resultado Antes Tributação/Participações","Provisão para IR e Contribuição Social","IR Diferido","Participações/Contribuições Estatutárias","Reversão dos Juros sobre Capital Próprio","Part. de Acionistas Não Controladores.y","Lucro/Prejuízo do Período","names","Time"
"1","30/09/2007","5952390.144000","3434498.048000","2963.000000","566072.000000","75637.000000","53931.000000","425.000000","1986925.952000","179970.000000","355852.000000","212722.000000","2481155.072000","163847.008000","91032.000000","0.000000","0.000000","1628641.024000","275500.000000","189835.008000","132300.000000","36737.000000","2455.000000","26134.000000","0.000000","0.000000","8148.000000","5952390.144000","3874394.112000","1431598.976000","61147.000000","5653.000000","256699.008000","1784.000000","0.000000","0.000000","0.000000","2117511.936000","1612705.024000","571742.016000","74011.000000","429921.984000","0.000000","0.000000","0.000000","0.000000","0.000000","537030.016000","0.000000","1281.000000","464009.984000","307664.992000","0.000000","0.000000","18675.000000","-5.000000","137675.008000","603430.976000","-221486.000000","381944.992000","-257835.008000","9164.000000","-6955.000000","-235482.000000","-26657.000000","33227.000000","-31132.000000","0.000000","124110.000000","-19616.000000","398.000000","-20014.000000","104494.000000","-32785.000000","0.000000","-1280.000000","0.000000","0.000000","70429.000000","BPAN4","2007-09-29 21:00:00"
"2","31/12/2007","7102709.760000","4331456.000000","6365.000000","913027.008000","306294.016000","47774.000000","759.000000","2180217.088000","191631.008000","429552.992000","255836.000000","2747026.944000","57209.000000","96523.000000","0.000000","0.000000","2039700.992000","299000.992000","95604.000000","158988.992000","24227.000000","2379.000000","14332.000000","0.000000","0.000000","7516.000000","7102709.760000","4170488.064000","1624674.944000","19347.000000","5305.000000","272729.984000","1214.000000","0.000000","0.000000","0.000000","2247216.896000","1751469.056000","588643.968000","75958.000000","501236.000000","0.000000","0.000000","0.000000","0.000000","0.000000","585630.976000","0.000000","1305.000000","1179448.064000","1008091.008000","0.000000","0.000000","171364.000000","-7.000000","0.000000","625093.888000","-286310.016000","338784.064000","-292934.976000","9144.000000","-10394.000000","-278556.992000","-24330.000000","32498.000000","-21296.000000","0.000000","45848.992000","-9653.000000","-2921.000000","60807.000000","36196.000000","-7708.000000","0.000000","1374.000000","0.000000","-647.000000","29215.000000","BPAN4","2007-12-30 22:00:00"
"3","31/03/2008","7355802.112000","3927998.976000","9568.000000","290576.992000","58048.000000","87905.000000","882.000000","2554021.120000","190368.992000","427289.984000","309339.008000","3404134.912000","57220.000000","225852.000000","0.000000","0.000000","2431054.080000","386472.992000","113684.000000","189852.000000","23668.000000","2379.000000","14360.000000","0.000000","0.000000","6929.000000","7355802.112000","4305317.888000","1751080.960000","2156.000000","5377.000000","132920.000000","986.000000","0.000000","0.000000","0.000000","2412797.952000","1801122.048000","590441.024000","78982.000000","529432.992000","25536.000000","0.000000","0.000000","0.000000","0.000000","576729.984000","0.000000","1352.000000","1248009.984000","1008091.008000","0.000000","0.000000","239892.000000","27.000000","0.000000","729360.000000","-331227.008000","398132.992000","-271971.008000","9346.000000","-9112.000000","-255014.000000","-23886.000000","34698.000000","-28003.000000","0.000000","126162.000000","-22571.000000","500.000000","-23071.000000","103591.000000","-35017.000000","0.000000","-46.000000","0.000000","0.000000","68528.000000","BPAN4","2008-03-30 21:00:00"
"4","30/06/2008","8419802.112000","4307219.968000","5273.000000","368152.992000","199728.000000","123223.000000","582.000000","2460844.032000","259044.000000","592174.976000","298198.016000","4089142.016000","69183.000000","239896.000000","0.000000","0.000000","2848220.928000","542838.016000","133187.000000","255816.992000","23440.000000","2239.000000","14369.000000","0.000000","0.000000","6832.000000","8419802.112000","5015657.984000","1920253.056000","32436.000000","101406.000000","98874.000000","1680.000000","0.000000","0.000000","0.000000","2861008.896000","2148220.928000","767969.984000","56655.000000","669168.000000","20165.000000","0.000000","0.000000","0.000000","0.000000","634262.976000","0.000000","1424.000000","1254498.944000","1108091.008000","172.000000","0.000000","146238.000000","-2.000000","0.000000","639158.976000","-318679.008000","320480.000000","-255427.008000","7720.000000","-11348.000000","-273260.000000","-24457.000000","66205.000000","-20287.000000","0.000000","65053.000000","-27129.000000","334.000000","-27463.000000","37924.000000","3486.000000","0.000000","-67.000000","0.000000","0.000000","41343.000000","BPAN4","2008-06-29 21:00:00"
"5","30/09/2008","8451610.112000","4057204.992000","6922.000000","58289.000000","212006.000000","18144.000000","375.000000","2444097.024000","322312.000000","656825.984000","338233.984000","4347089.920000","72719.000000","128140.000000","0.000000","0.000000","2931917.056000","772620.992000","166184.992000","275508.000000","47315.000000","26634.000000","14171.000000","0.000000","0.000000","6510.000000","8451610.112000","4880748.032000","1883831.040000","0.000000","126939.000000","15343.000000","1477.000000","0.000000","0.000000","0.000000","2853157.888000","2279688.960000","867598.016000","0.000000","748017.984000","4358.000000","0.000000","0.000000","0.000000","0.000000","659715.008000","0.000000","1168.000000","1290004.992000","1108091.008000","172.000000","0.000000","181863.008000","-121.000000","0.000000","856371.968000","-453774.016000","402598.016000","-285103.008000","7861.000000","-9833.000000","-295187.008000","-24897.000000","80415.000000","-43462.000000","0.000000","117495.000000","-31428.000000","0.000000","0.000000","86067.000000","-26348.000000","0.000000","0.000000","0.000000","258.000000","59977.000000","BPAN4","2008-09-29 21:00:00"
"6","31/12/2008","8976475.136000","4391562.752000","4378.000000","247718.000000","336340.992000","13754.000000","1334.000000","2248891.904000","326811.008000","880382.976000","331952.000000","4539180.032000","10332.000000","136820.000000","0.000000","0.000000","2923749.888000","711926.016000","492952.000000","263400.000000","45732.000000","1414.000000","41718.000000","0.000000","2600.000000","0.000000","8976475.136000","3415076.096000","1274545.024000","31609.000000","149254.000000","28256.000000","909.000000","0.000000","0.000000","0.000000","1930503.040000","4372542.976000","709312.000000","976.000000","783408.000000","15355.000000","0.000000","0.000000","0.000000","0.000000","2863492.096000","0.000000","1240.000000","1187616.000000","1108091.008000","172.000000","0.000000","79346.000000","7.000000","0.000000","603982.080000","-490144.000000","113837.952000","-197158.976000","6809.000000","-12437.000000","-183836.992000","-28991.000000","71394.000000","-50096.992000","0.000000","-83321.024000","-45347.000000","-834.000000","50534.000000","-128668.000000","54846.000000","0.000000","113.000000","0.000000","-564.000000","-74273.000000","BPAN4","2008-12-30 22:00:00"
"7","31/03/2009","8649923.584000","4045721.088000","2199.000000","81851.000000","194275.008000","58691.000000","1310.000000","2310184.960000","330111.008000","732332.032000","334767.008000","4560238.080000","21784.000000","106698.000000","0.000000","0.000000","3089884.928000","683441.024000","392303.008000","266127.008000","43965.000000","1414.000000","40212.000000","0.000000","2339.000000","0.000000","8649923.584000","2558178.048000","1305496.960000","3008.000000","13356.000000","35584.000000","1025.000000","0.000000","0.000000","0.000000","1199708.032000","4832117.760000","863539.968000","1004.000000","740627.008000","9582.000000","0.000000","0.000000","0.000000","0.000000","3217364.992000","0.000000","1340.000000","1258288.000000","1108091.008000","172.000000","0.000000","150006.000000","19.000000","0.000000","879598.016000","-518908.000000","360689.984000","-193443.008000","6142.000000","-9173.000000","-192802.000000","-22693.000000","63102.000000","-38019.000000","0.000000","167247.008000","-46264.000000","190.000000","-46454.000000","120983.000000","-49986.000000","0.000000","-99.000000","0.000000","0.000000","70898.000000","BPAN4","2009-03-30 21:00:00"
"8","30/06/2009","10096191.488000","4835085.824000","1209.000000","931054.016000","242340.992000","53319.000000","1800.000000","2209327.104000","333152.000000","715291.008000","347592.992000","5218279.936000","110663.000000","95631.000000","0.000000","0.000000","3736851.968000","673411.008000","372367.008000","229356.000000","42826.000000","1414.000000","39417.000000","0.000000","1995.000000","0.000000","10096191.488000","4370659.840000","2237872.896000","52058.000000","403796.992000","36894.000000","1632.000000","0.000000","0.000000","0.000000","1638406.016000","4464260.096000","1548839.040000","30401.000000","262503.008000","5110.000000","0.000000","0.000000","0.000000","0.000000","2617406.976000","0.000000","1441.000000","1259831.040000","1108091.008000","172.000000","0.000000","151560.000000","8.000000","0.000000","744875.008000","-459176.000000","285699.008000","-213824.000000","6375.000000","-9232.000000","-248331.008000","-17292.000000","64874.000000","-10218.000000","0.000000","71875.000000","-57379.000000","181.000000","-57560.000000","14496.000000","1145.000000","0.000000","-87.000000","0.000000","0.000000","15554.000000","BPAN4","2009-06-29 21:00:00"
"9","30/09/2009","10365839.360000","5384279.040000","2822.000000","592737.024000","254468.000000","52883.000000","1360.000000","3056651.008000","328086.016000","743492.992000","351779.008000","4936955.904000","75744.000000","126064.000000","0.000000","0.000000","3413560.064000","696481.984000","380156.992000","244948.992000","44604.000000","3191.000000","39716.000000","0.000000","1697.000000","0.000000","10365839.360000","4833311.232000","2535303.936000","36555.000000","374676.992000","33148.000000","1818.000000","0.000000","0.000000","0.000000","1851809.024000","4225271.040000","1659737.984000","19923.000000","267947.008000","3807.000000","0.000000","0.000000","0.000000","0.000000","2273856.000000","0.000000","1512.000000","1305745.024000","1108091.008000","172.000000","0.000000","197475.008000","7.000000","0.000000","706241.024000","-313198.016000","393043.008000","-250816.992000","7086.000000","-8898.000000","-285219.008000","-20502.000000","79010.000000","-22294.000000","0.000000","142226.000000","-66490.000000","92.000000","-66582.000000","75736.000000","-29750.000000","0.000000","0.000000","0.000000","-71.000000","45915.000000","BPAN4","2009-09-29 21:00:00"
"10","31/12/2009","11590556.672000","5744287.744000","4664.000000","892150.016000","291696.000000","31731.000000","1405.000000","3090554.112000","341320.000000","826443.008000","264324.992000","5801133.056000","87112.000000","101047.000000","0.000000","0.000000","4110920.960000","759484.032000","439489.984000","303079.008000","45136.000000","3266.000000","39789.000000","0.000000","2081.000000","0.000000","11590556.672000","5336361.984000","2994358.016000","64454.000000","630857.984000","31408.000000","964.000000","0.000000","0.000000","0.000000","1614320.000000","4938717.184000","2030681.984000","25732.000000","348080.000000","20086.000000","0.000000","0.000000","0.000000","0.000000","2514137.088000","0.000000","1707.000000","1313771.008000","1108091.008000","172.000000","0.000000","205507.008000","1.000000","0.000000","859553.792000","-392098.944000","467455.040000","-371790.016000","7216.000000","-10764.000000","-381553.024000","-20711.000000","62761.008000","-28739.000000","0.000000","95664.992000","-50243.008000","-463.000000","170596.000000","45421.984000","-3698.000000","0.000000","186.000000","0.000000","-256.000000","41653.992000","BPAN4","2009-12-30 22:00:00"
