"","Cresc.5a","DY","Div.Brut/Pat.","EBITDA","EV/EBIT","Liq.2m.","Liq.Corr.","Mrg.Liq.","P/Ativ.Circ.Liq.","P/Ativo","P/Cap.Giro","P/EBIT","P/L","P/VP","PSR","Pat.Liq","ROE","ROIC","cotacao","dateCreated","names"
"MNPR3","-7,85%","0,00%","-0,01","12,46%","1,13","13.607,70","0,09","-6,78%","-0,06","0,126","-0,08","1,05","-1,94","-0,10","0,131","-264.058.000,00","5,25%","12,40%","3,79",2017-02-18,"MNPR3"
"MOAR3","55,23%","5,48%","0,02","-1.196,29%","-31,63","1.440,50","2,99","4.412,84%","14,40","1,258","7,66","-38,04","10,37","1,50","455,046","1.268.890.000,00","14,43%","-4,29%","155,00",2017-02-18,"MOAR3"
"MPLU3","5,87%","6,45%","0,00","25,86%","11,11","10.914.900,00","1,10","23,00%","37,33","3,195","37,08","13,98","15,72","22,93","3,615","266.796.000,00","145,89%","87,81%","37,70",2017-02-18,"MPLU3"
"MRFG3","-5,72%","0,00%","8,66","7,10%","8,43","17.501.300,00","1,26","-3,13%","-0,48","0,215","2,14","3,68","-7,57","3,40","0,261","1.342.850.000,00","-44,94%","9,12%","7,35",2017-02-18,"MRFG3"
"MRVE3","1,64%","2,56%","0,41","14,30%","10,49","38.903.000,00","2,20","13,32%","14,38","0,520","1,66","9,78","11,06","1,19","1,399","5.172.940.000,00","10,74%","6,37%","13,83",2017-02-18,"MRVE3"
"MSPA4","50,41%","4,16%","0,03","67,60%","0,59","75,02","2,30","57,67%","-0,53","0,121","1,25","0,58","0,68","0,20","0,391","997.179.000,00","29,89%","21,66%","31,51",2017-02-18,"MSPA4"
"MTIG4","30,96%","0,00%","-85,86","-2,88%","-6,76","1.619,86","0,67","-6,98%","-0,15","0,098","-0,52","-1,94","-0,80","-33,40","0,056","-230.992,00","4.164,35%","-6,58%","32,01",2017-02-18,"MTIG4"
"MTSA4","-0,51%","4,40%","0,36","1,82%","18,81","67.498,70","2,23","6,12%","0,91","0,346","0,85","28,49","8,47","0,54","0,518","212.697.000,00","6,34%","1,94%","12,49",2017-02-18,"MTSA4"
"MULT3","5,17%","0,75%","0,58","60,66%","21,95","50.360.600,00","2,28","33,21%","-6,33","1,713","21,31","19,17","48,01","2,93","11,628","4.362.510.000,00","6,09%","9,95%","67,18",2017-02-18,"MULT3"
"MWET4","-11,14%","0,00%","-0,51","-15,30%","-3,84","2.974,29","0,30","-49,74%","-0,02","0,024","-0,05","-0,24","-0,07","-0,03","0,036","-143.673.000,00","43,15%","-12,14%","2,21",2017-02-18,"MWET4"
"MYPK3","7,78%","1,47%","1,70","5,81%","10,35","7.647.740,00","0,98","0,99%","-0,54","0,203","-27,78","3,51","-119,10","0,78","0,204","1.825.310.000,00","-0,65%","6,81%","15,00",2017-02-18,"MYPK3"
"NAFG4","5,47%","2,49%","0,62","4,70%","13,49","644,29","1,10","0,94%","-3,44","0,304","7,54","7,27","40,02","0,64","0,342","285.408.000,00","1,61%","4,60%","13,50",2017-02-18,"NAFG4"
